,Filme,Ano,Avaliação Rotten Tomatoes
0,The Godfather,1972,17
0,Citizen Kane,1941,2
0,Casablanca,1942,8
0,"The Godfather, Part II",1974,99
0,Singin' in the Rain,1952,52
0,Psycho,1960,88
0,Rear Window,1954,47
0,Apocalypse Now,1979,unranked
0,2001: A Space Odyssey,1968,unranked
0,Seven Samurai,1954,49
0,Vertigo,1958,unranked
0,Sunset Blvd,1950,21
0,Modern Times,1936,4
0,Lawrence of Arabia,1962,unranked
0,North by Northwest,1959,79
0,Star Wars,1977,unranked
0,Parasite,2019,6
0,Schindler's List,1993,unranked
0,Lord of the Rings: The Fellowship of the Ring,2001,unranked
0,Shawshank Redemption,1994,unranked
0,It's a Wonderful Life,1946,unranked
0,Pulp Fiction,1994,unranked
0,Avengers: Endgame,2019,7
0,City Lights,1931,unranked
0,One Flew Over the Cuckoo's Nest,1975,unranked
